City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
429,Cururupu,BR,83.62,scattered clouds,-1.83,-44.87,Pousada Través'cia
431,Sur,OM,85.44,clear sky,22.57,59.53,Sur Plaza Hotel
432,Mandera,KE,81.37,broken clouds,3.94,41.87,Kornesh Hotel and Lodging
435,Phan Thiet,VN,78.39,broken clouds,10.93,108.1,Hotel Saigon-PT
436,San Andres,CO,80.6,moderate rain,12.58,-81.7,Hotel Arena Blanca
440,Ponta Delgada,PT,71.6,few clouds,37.73,-25.67,Vila Nova Hotel
441,Honiara,SB,71.6,scattered clouds,-9.43,159.95,Heritage Park Hotel
443,Monroe,US,75.99,overcast clouds,43.15,-77.68,Staybridge Suites Rochester University
444,Trincomalee,LK,81.19,overcast clouds,8.57,81.23,Welcombe Hotel
446,Chitose,JP,73.4,mist,42.82,141.65,ANA Crowne Plaza Chitose
447,Guaruja,BR,73.99,mist,-23.99,-46.26,Charme Hotel Guarujá
450,Harper,LR,76.93,broken clouds,4.38,-7.72,Screensaver
455,Fort Erie,CA,73.99,overcast clouds,42.9,-78.93,Buffalo Grand Hotel & Event Center (formerly Adams Mark Buffalo)
464,Santa Fe,AR,71.01,clear sky,-31.63,-60.7,Conquistador Hotel
465,Dromolaxia,CY,84.99,clear sky,34.88,33.59,Flamingo Beach Hotel
467,Les Cayes,HT,84.0,overcast clouds,18.2,-73.75,Villa Orphee
469,Linhai,CN,72.0,clear sky,28.85,121.12,Linhai S&N International Hotel
474,Ambon,ID,78.01,light rain,-3.7,128.18,Swiss-Belhotel Ambon
475,Daur,PK,86.0,haze,26.46,68.32,Ramzan malik home
476,Garowe,SO,76.82,overcast clouds,8.41,48.48,Curubo Hotel
477,Santa Vitoria,BR,93.58,clear sky,-18.84,-50.12,Center Hotel
479,Kumba,CM,72.12,light rain,4.64,9.45,El Bethel Hotel
480,Muroto,JP,80.53,few clouds,33.28,134.15,Oota Ryokan
485,Sakaiminato,JP,75.2,few clouds,35.55,133.23,味処・民宿 まつや
493,Korla,CN,75.99,scattered clouds,41.76,86.15,Gulisitan Hotel
495,Tuy Hoa,VN,79.18,broken clouds,13.08,109.3,CenDeluxe Hotel Tuy Hoa
496,Quatre Cocos,MU,72.0,shower rain,-20.21,57.76,Emeraude Beach Attitude Hotel
497,Nhulunbuy,AU,77.0,overcast clouds,-12.23,136.77,East Arnhem Real Estate
498,Puebloviejo,CO,87.8,thunderstorm,10.99,-74.28,The Journey Hostel
499,Ramnagar,IN,78.01,clear sky,29.4,79.12,"Samsara The Resort & Club, Corbett"
501,Sola,VU,79.2,overcast clouds,-13.88,167.55,Leumerus Bungalows
502,Shingu,JP,75.54,light rain,33.73,135.98,Shingu UI Hotel
503,Alofi,NU,71.6,broken clouds,-19.06,-169.92,Taloa Heights
505,Manavalakurichi,IN,80.6,haze,8.13,77.3,Udaya Boys Hostel
507,Biak,ID,75.78,overcast clouds,-0.91,122.88,Kost Ariz
509,Cabedelo,BR,80.6,few clouds,-6.98,-34.83,Lua Mansa Pousada
513,Amahai,ID,75.96,overcast clouds,-3.33,128.92,Peternakan Ayam Bangkok Manisso
515,Praia,CV,80.6,broken clouds,14.92,-23.51,LT Aparthotel
523,Basco,PH,83.35,few clouds,20.45,121.97,Nathaniel's Lodge
525,Yazoo City,US,91.4,clear sky,32.86,-90.41,Hampton Inn Yazoo City
528,Kango,GA,75.11,overcast clouds,0.19,10.1,Le Flamboyant du Como
530,Hambantota,LK,80.56,overcast clouds,6.12,81.12,Bungalow 63
531,Camacha,PT,73.4,few clouds,33.08,-16.33,Hotel Porto Santo & Spa
533,Zelino,MK,71.6,broken clouds,41.98,21.06,Hotel - Petrol Company
536,Marsh Harbour,BS,83.39,moderate rain,26.54,-77.06,Abaco Beach Resort
537,Vicosa,BR,79.07,clear sky,-20.75,-42.88,Vivant Residence
