City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
100,Arlit,NE,2020-09-04 04:57:52,18.74,7.39,85.57,52,99,2.06
101,Mataura,NZ,2020-09-04 04:57:53,-46.19,168.86,55.8,65,100,3.49
102,Devils Lake,US,2020-09-04 04:57:53,48.11,-98.87,55.4,66,1,9.17
103,Kapaa,US,2020-09-04 04:56:21,22.08,-159.32,82.4,65,20,10.29
104,Bluff,NZ,2020-09-04 04:57:54,-46.6,168.33,51.69,89,100,6.85
105,Cherskiy,RU,2020-09-04 04:57:54,68.75,161.3,42.03,67,97,11.18
106,La Asuncion,VE,2020-09-04 04:57:54,11.03,-63.86,89.6,66,92,10.29
107,Mecca,SA,2020-09-04 04:57:54,21.43,39.83,99.95,18,33,9.89
108,Idil,TR,2020-09-04 04:57:55,37.34,41.89,84.25,19,0,12.57
109,Newport,GB,2020-09-04 04:57:25,51.59,-3.0,59.0,94,82,7.09
110,Mount Gambier,AU,2020-09-04 04:57:55,-37.83,140.77,59.0,77,75,18.34
111,Dharchula,IN,2020-09-04 04:57:56,29.85,80.53,78.6,62,26,5.3
112,Souillac,MU,2020-09-04 04:57:56,-20.52,57.52,69.8,73,75,14.99
113,Saint-Joseph,RE,2020-09-04 04:57:56,-21.37,55.62,66.99,77,75,9.17
114,Banda Aceh,ID,2020-09-04 04:57:57,5.56,95.32,85.69,63,61,6.98
115,Brae,GB,2020-09-04 04:57:57,60.4,-1.35,53.6,93,95,26.4
116,Coquimbo,CL,2020-09-04 04:57:57,-29.95,-71.34,57.2,67,99,4.7
117,Lalmohan,BD,2020-09-04 04:57:58,22.34,90.74,87.76,65,0,3.56
118,Biak,ID,2020-09-04 04:57:58,-0.91,122.88,79.66,82,92,6.6
119,Karratha,AU,2020-09-04 04:54:35,-20.74,116.85,88.38,14,15,9.84
120,Buala,SB,2020-09-04 04:57:58,-8.14,159.59,78.55,87,100,6.51
121,Marinette,US,2020-09-04 04:57:59,45.1,-87.63,60.8,71,1,3.36
122,Santa Isabel Do Rio Negro,BR,2020-09-04 04:57:59,-0.41,-65.02,73.81,86,17,2.04
123,Marevo,RU,2020-09-04 04:58:00,57.31,32.08,59.85,97,100,2.1
124,Acarau,BR,2020-09-04 04:58:00,-2.89,-40.12,76.82,82,3,17.45
125,Geraldton,AU,2020-09-04 04:58:00,-28.77,114.6,71.6,56,40,2.24
126,Port Macquarie,AU,2020-09-04 04:57:33,-31.43,152.92,81.0,48,0,1.99
127,Primorsk,UA,2020-09-04 04:58:01,46.73,36.34,77.27,48,100,18.88
128,Richards Bay,ZA,2020-09-04 04:58:01,-28.78,32.04,63.7,82,0,7.47
129,Bethel,US,2020-09-04 04:58:02,41.37,-73.41,69.01,97,87,1.61
130,Aklavik,CA,2020-09-04 04:58:02,68.22,-135.01,50.0,81,75,5.82
