City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
166,Pisco,PE,-13.7,-76.22,66.99,77,8,9.17,clear sky
167,Shimoda,JP,34.67,138.95,73.0,94,6,9.95,clear sky
168,Yuzhno-Kurilsk,RU,44.03,145.86,65.26,98,100,0.83,overcast clouds
169,Semey,KZ,50.41,80.23,52.45,72,100,11.41,overcast clouds
170,Lavrentiya,RU,65.58,-171.0,43.84,73,100,18.61,overcast clouds
171,Sorong,ID,-0.88,131.25,77.18,88,85,8.32,overcast clouds
172,Podosinovets,RU,60.28,47.07,59.2,87,99,4.99,overcast clouds
173,Deputatskiy,RU,69.3,139.9,38.3,95,98,3.04,overcast clouds
174,Codrington,AU,-38.27,141.97,64.76,35,100,14.36,overcast clouds
175,Yerbogachen,RU,61.28,108.01,43.65,88,64,1.28,broken clouds
176,Dikson,RU,73.51,80.55,43.39,80,100,18.72,overcast clouds
177,San Cristobal,VE,7.77,-72.22,91.4,55,40,12.75,scattered clouds
178,Hithadhoo,MV,-0.6,73.08,82.69,77,97,13.42,overcast clouds
179,San Vicente,AR,-26.62,-54.13,64.8,86,100,3.27,light rain
180,Makungu,TZ,-8.73,35.28,60.26,63,0,3.13,clear sky
181,Los Llanos De Aridane,ES,28.66,-17.92,77.0,78,20,9.17,few clouds
182,Saint-Augustin,CA,51.23,-58.65,61.5,53,15,16.55,few clouds
183,Chuy,UY,-33.7,-53.46,56.17,73,93,8.93,overcast clouds
184,Lagoa,PT,39.05,-27.98,70.23,78,0,21.3,clear sky
185,Labrea,BR,-7.26,-64.8,105.57,12,5,3.29,clear sky
186,Ishigaki,JP,24.34,124.16,81.16,66,10,5.86,clear sky
187,Manzil Salim,TN,35.86,8.48,69.8,73,40,5.82,scattered clouds
188,Guerrero Negro,MX,27.98,-114.06,90.64,43,0,10.45,clear sky
189,Prabumulih,ID,-3.45,104.25,73.94,91,93,3.27,overcast clouds
190,Saldanha,ZA,-33.01,17.94,57.2,67,0,4.7,clear sky
191,Hay River,CA,60.82,-115.8,55.4,54,75,5.82,broken clouds
192,Natal,BR,-5.79,-35.21,82.4,61,20,17.22,few clouds
193,Yining,CN,29.04,114.56,70.11,88,5,0.47,clear sky
194,Whitehorse,CA,60.72,-135.05,57.2,50,75,17.22,broken clouds
195,Cidreira,BR,-30.18,-50.21,57.83,92,100,17.34,overcast clouds
196,Lisiy Nos,RU,60.02,30.02,57.0,82,40,4.47,scattered clouds
197,Porto Santo,PT,33.07,-16.34,73.4,78,20,5.82,few clouds
198,Noumea,NC,-22.28,166.46,71.01,82,75,13.87,broken clouds
199,Bilibino,RU,68.05,166.44,39.24,71,97,1.57,overcast clouds
200,Beira,MZ,-19.84,34.84,69.8,73,20,10.29,few clouds
201,Zhongshu,CN,24.52,103.77,61.36,91,54,1.97,broken clouds
202,Mitsamiouli,KM,-11.38,43.28,75.76,71,0,4.79,clear sky
203,Barcelona,ES,41.39,2.16,64.4,93,40,13.87,moderate rain
204,Aragarcas,BR,-15.9,-52.25,100.4,15,23,2.24,few clouds
205,Gao,ML,16.64,1.64,91.54,39,31,5.66,scattered clouds
206,Along,IN,28.17,94.77,72.57,89,100,0.27,moderate rain
207,Coihaique,CL,-45.58,-72.07,59.0,38,75,9.17,broken clouds
208,Kavieng,PG,-2.57,150.8,82.47,75,35,12.75,scattered clouds
209,Boa Vista,BR,2.82,-60.67,93.2,49,75,5.82,broken clouds
210,Laguna,US,38.42,-121.42,100.99,20,5,6.89,clear sky
211,Eau Claire,US,44.81,-91.5,59.0,54,90,5.82,moderate rain
212,Lakselv,NO,70.05,24.97,48.2,93,75,18.34,broken clouds
213,Irmo,US,34.09,-81.18,89.01,35,20,3.36,few clouds
214,Luchegorsk,RU,46.48,134.26,62.31,95,100,8.19,overcast clouds
215,Kraslava,LV,55.9,27.17,49.33,96,37,5.3,scattered clouds
216,San Patricio,MX,19.22,-104.7,86.0,74,75,11.41,broken clouds
217,Narsaq,GL,60.92,-46.05,51.8,66,20,1.12,few clouds
218,Vestmannaeyjar,IS,63.44,-20.27,50.32,76,96,16.67,overcast clouds
219,Makat,KZ,47.65,53.35,68.86,24,96,6.17,overcast clouds
220,Darnah,LY,32.77,22.64,76.98,75,0,12.1,clear sky
221,Tevaitoa,PF,-16.78,-151.5,78.44,78,47,15.79,scattered clouds
222,Belmonte,BR,-15.86,-38.88,77.0,69,75,13.87,broken clouds
223,Vostok,RU,46.49,135.88,57.13,98,100,5.53,moderate rain
224,Qaanaaq,GL,77.48,-69.36,24.24,80,15,7.45,few clouds
225,Gillette,US,44.29,-105.5,42.8,93,90,19.46,mist
226,Bansang,GM,13.43,-14.65,76.55,92,99,3.94,light rain
227,Saquena,PE,-4.67,-73.52,89.65,54,99,1.19,overcast clouds
228,Kuzino,RU,57.02,59.44,51.15,95,74,2.35,broken clouds
229,Maningrida,AU,-12.07,134.27,67.41,93,93,7.94,overcast clouds
230,Puerto Escondido,MX,15.85,-97.07,86.0,62,75,4.7,broken clouds
231,Shenjiamen,CN,29.96,122.3,77.97,75,0,11.99,clear sky
232,Russell,US,32.35,-85.2,89.6,38,20,4.7,few clouds
233,Moerai,PF,-22.43,-151.33,70.56,77,100,15.48,overcast clouds
234,Lakes Entrance,AU,-37.88,147.98,57.78,72,100,9.1,overcast clouds
235,Hasaki,JP,35.73,140.83,79.0,94,20,6.93,few clouds
236,Rimbey,CA,52.63,-114.24,50.0,57,75,12.75,broken clouds
237,Pemba,MZ,-12.97,40.52,74.05,72,0,14.09,clear sky
238,Poum,NC,-20.23,164.02,72.03,76,96,13.76,overcast clouds
239,Isangel,VU,-19.55,169.27,71.6,88,90,10.2,overcast clouds
240,Bambous Virieux,MU,-20.34,57.76,72.0,94,40,10.29,shower rain
241,China,MX,25.7,-99.23,90.61,46,100,10.27,overcast clouds
242,Puerto Madryn,AR,-42.77,-65.04,64.35,41,9,28.74,clear sky
243,Northam,GB,51.03,-4.22,62.01,94,100,11.99,overcast clouds
244,Adre,TD,13.47,22.2,72.93,76,100,3.04,overcast clouds
245,Heishan,CN,41.69,122.11,66.2,76,100,11.12,light rain
246,Savelugu,GH,9.62,-0.83,75.54,89,64,3.22,light rain
247,Tobermory,CA,45.25,-81.67,58.23,69,57,25.81,broken clouds
248,Lorengau,PG,-2.02,147.27,82.0,79,6,10.18,clear sky
249,Qinhuangdao,CN,39.93,119.59,69.94,69,97,7.34,light rain
250,College,US,64.86,-147.8,59.0,71,75,4.7,broken clouds
251,Akyab,MM,20.15,92.9,81.86,84,100,2.35,moderate rain
252,Bouna,CI,9.27,-3.0,73.62,91,94,4.45,light rain
253,Taitung,TW,22.76,121.14,78.66,70,0,4.29,clear sky
254,Sitka,US,57.05,-135.33,57.2,76,90,4.18,overcast clouds
255,Brus Laguna,HN,15.75,-84.48,87.33,66,93,6.4,light rain
256,Boyolangu,ID,-8.12,111.89,74.21,90,66,4.07,broken clouds
257,Portland,US,45.52,-122.68,82.0,58,6,1.01,clear sky
258,Bintulu,MY,3.17,113.03,77.0,94,40,3.36,light rain
259,Chifeng,CN,42.27,118.96,60.19,87,100,8.55,overcast clouds
260,Meulaboh,ID,4.14,96.13,77.81,85,100,2.84,overcast clouds
261,Linxia,CN,35.6,103.21,59.34,70,71,0.09,broken clouds
262,Zarubino,RU,42.63,131.09,66.78,93,100,21.47,overcast clouds
263,Sharan,RU,54.82,54.0,53.78,70,1,3.44,clear sky
264,Atar,MR,20.52,-13.05,98.33,28,28,10.18,scattered clouds
265,Kolpashevo,RU,58.31,82.91,41.88,94,75,3.74,broken clouds
266,Ballina,AU,-28.87,153.57,57.2,87,90,3.36,overcast clouds
267,North Bend,US,43.41,-124.22,64.4,72,1,9.17,clear sky
268,Bakchar,RU,57.02,82.07,41.4,96,100,3.51,overcast clouds
269,Maceio,BR,-9.67,-35.74,80.6,57,20,10.29,few clouds
270,Menongue,AO,-14.66,17.69,64.71,26,0,6.64,clear sky
271,Salalah,OM,17.02,54.09,80.6,83,40,5.82,scattered clouds
272,Rognan,NO,67.1,15.39,55.0,71,75,4.7,light rain
273,Balikpapan,ID,-1.27,116.83,75.58,91,100,3.06,moderate rain
274,Mattawa,US,46.74,-119.9,80.6,13,20,26.4,haze
275,Kununurra,AU,-15.77,128.73,71.6,36,68,5.82,broken clouds
276,Bambanglipuro,ID,-7.95,110.28,75.87,88,65,7.14,broken clouds
277,Vitim,RU,59.45,112.56,49.71,93,100,3.2,overcast clouds
278,Havre-Saint-Pierre,CA,50.23,-63.6,64.4,59,1,11.41,clear sky
279,Jining,CN,35.41,116.58,67.17,78,71,1.81,broken clouds
280,Kiama,AU,-34.68,150.87,60.01,71,5,5.01,clear sky
281,Bulancak,TR,40.94,38.23,73.4,88,20,4.7,few clouds
282,Santa Cruz,BO,-17.8,-63.17,80.6,36,75,11.41,broken clouds
283,Jinji,CN,23.23,110.83,76.84,93,97,3.15,overcast clouds
284,Saskylakh,RU,71.92,114.08,41.77,73,0,8.7,clear sky
285,Hirara,JP,24.8,125.28,81.03,65,32,5.68,scattered clouds
286,Monrovia,LR,6.3,-10.8,78.8,88,75,5.82,broken clouds
287,Kavaratti,IN,10.57,72.64,82.13,82,100,15.52,overcast clouds
288,Mankono,CI,8.06,-6.19,74.43,84,72,2.46,light rain
289,Cayenne,GF,4.93,-52.33,87.8,70,27,9.17,light rain
290,Buala,SB,-8.14,159.59,80.35,77,0,3.98,clear sky
291,Yaan,NG,7.38,8.57,74.97,90,72,3.51,light rain
292,Sakata,JP,38.92,139.85,79.63,72,11,5.14,few clouds
293,Cam Ranh,VN,11.92,109.16,82.4,83,20,3.36,few clouds
294,Mokhotlong,LS,-29.29,29.07,45.12,56,0,2.48,clear sky
295,Fortaleza,BR,-3.72,-38.52,82.4,61,69,16.11,broken clouds
